PR Name,Created Date,Author
"Feat: PHP Stan code analysis","27/09/2024","Meldiron"
"feat: increasing payload size","25/09/2024","byawitz"
"feat: payload response type","25/09/2024","loks0n"
"fix: oauth trigger create user event","25/09/2024","loks0n"
"fix(assistant): make Appwrite Assistant hostname configurable","24/09/2024","basert"
"Fix: unwanted logs & outbound issues","20/09/2024","Meldiron"
"test for response and request filters","20/09/2024","vermakhushboo"
"Fixing new user blocked issue","20/09/2024","EJM143"
"Replace sleep with await method in functions","19/09/2024","vermakhushboo"
"fix: flaky functions tests","18/09/2024","loks0n"
"Update Database lib","18/09/2024","PineappleIOnic"
"Multi region support","15/09/2024","shimonewman"
"Feat 6061 delete all user sessions on blocking a user","13/09/2024","SophieNguyen113"
"refactor: centralize parameter validation","07/09/2024","ladunjexa"
"refactor: centralize payload population","07/09/2024","ladunjexa"
"chore: Changes for console roles support","21/08/2024","lohanidamodar"
"Bug 5901 fix resend invitation from create invite","13/08/2024","ZachHandley"
"Refactor: Update Vietnamese translations","13/08/2024","HUNG-rushb"
"Fix Scheduled Executions","12/08/2024","ItzNotABug"
"Feat single shared metadata docs","12/08/2024","abnegate"
"doc: update README-CN.md","11/08/2024","typed-sigterm"
"Feat enum statuses","02/08/2024","byawitz"
"Implement MFA Emails for authenticator creation and deletion","02/08/2024","PineappleIOnic"
"updated the mobile platform","01/08/2024","EswaramoorthyS"
"Db project by region","30/07/2024","shimonewman"
"Feat console roles","17/07/2024","christyjacob4"
"Avoid adding default storage permission for console user","16/07/2024","Souptik2001"
"Add oauth2 details in session when creating session from oauth2 token","13/07/2024","Souptik2001"
"Development Keys","10/07/2024","lohanidamodar"
"Feat refactor init config","30/06/2024","lohanidamodar"